"outcome.type","n.cluster","mean.size","coef.var","ICC","ICC2","model","true.model","method","ddf","type.I.error"
"binary",10,50,0,"0.001",0.00411949946397478,1,"B","LRT","BW1",0.0062
"binary",10,50,0,"0.001",0.00452802321856167,1,"D","LRT","BW1",0.0034
"count",10,50,0,"0.001",0.00393592975288138,1,"B","LRT","BW1",0.0076
"count",10,50,0,"0.001",0.00416621314026742,1,"D","LRT","BW1",0.0036
"binary",10,50,0,"0.01",0.00867480515927905,1,"B","LRT","BW1",0.0086
"binary",10,50,0,"0.01",0.00881725072520158,1,"D","LRT","BW1",0.0084
"count",10,50,0,"0.01",0.00611937625430008,1,"B","LRT","BW1",0.0122
"count",10,50,0,"0.01",0.00591455907045102,1,"D","LRT","BW1",0.007
"binary",10,50,0,"0.05",0.0301302588361231,1,"B","LRT","BW1",0.0236
"binary",10,50,0,"0.05",0.0311917165127615,1,"D","LRT","BW1",0.0188
"count",10,50,0,"0.05",0.0168439329995944,1,"B","LRT","BW1",0.0206
"count",10,50,0,"0.05",0.0141946227268575,1,"D","LRT","BW1",0.0208
"binary",10,50,0,"0.1",0.0615673770923516,1,"B","LRT","BW1",0.0234
"binary",10,50,0,"0.1",0.0614515903012237,1,"D","LRT","BW1",0.0232
"count",10,50,0,"0.1",0.0314064782680776,1,"B","LRT","BW1",0.0264
"count",10,50,0,"0.1",0.0270597949749684,1,"D","LRT","BW1",0.0276
"binary",10,50,0,"0.2",0.12177969749823,1,"B","LRT","BW1",0.029
"binary",10,50,0,"0.2",0.122636263391286,1,"D","LRT","BW1",0.0272
"count",10,50,0,"0.2",0.062188050311496,1,"B","LRT","BW1",0.0248
"count",10,50,0,"0.2",0.0511958090431419,1,"D","LRT","BW1",0.0254
"binary",10,50,0.75,"0.001",0.00446930710912612,1,"B","LRT","BW1",0.0072
"binary",10,50,0.75,"0.001",0.00541228135921152,1,"D","LRT","BW1",0.0034
"count",10,50,0.75,"0.001",0.00550793177571203,1,"B","LRT","BW1",0.0054
"count",10,50,0.75,"0.001",0.00667640141796894,1,"D","LRT","BW1",0.0044
"binary",10,50,0.75,"0.01",0.00900662086242912,1,"B","LRT","BW1",0.0096
"binary",10,50,0.75,"0.01",0.00939851520886186,1,"D","LRT","BW1",0.007
"count",10,50,0.75,"0.01",0.00776284939130232,1,"B","LRT","BW1",0.0114
"count",10,50,0.75,"0.01",0.0087165104098662,1,"D","LRT","BW1",0.0118
"binary",10,50,0.75,"0.05",0.0309903335813175,1,"B","LRT","BW1",0.024
"binary",10,50,0.75,"0.05",0.0319096020377554,1,"D","LRT","BW1",0.0202
"count",10,50,0.75,"0.05",0.0191187691831615,1,"B","LRT","BW1",0.0278
"count",10,50,0.75,"0.05",0.0169983118236743,1,"D","LRT","BW1",0.0252
"binary",10,50,0.75,"0.1",0.0615667103540197,1,"B","LRT","BW1",0.0288
"binary",10,50,0.75,"0.1",0.0638699682390718,1,"D","LRT","BW1",0.0282
"count",10,50,0.75,"0.1",0.0343938597571105,1,"B","LRT","BW1",0.0294
"count",10,50,0.75,"0.1",0.0302698302961826,1,"D","LRT","BW1",0.0288
"binary",10,50,0.75,"0.2",0.123352434405897,1,"B","LRT","BW1",0.025
"binary",10,50,0.75,"0.2",0.12417583576854,1,"D","LRT","BW1",0.027
"count",10,50,0.75,"0.2",0.066514397520405,1,"B","LRT","BW1",0.023
"count",10,50,0.75,"0.2",0.0555861175672281,1,"D","LRT","BW1",0.0296
"binary",10,50,1.5,"0.001",0.00624863008071972,1,"B","LRT","BW1",0.0062
"binary",10,50,1.5,"0.001",0.00824489648340498,1,"D","LRT","BW1",0.0048
"count",10,50,1.5,"0.001",0.0113617242763434,1,"B","LRT","BW1",0.0042
"count",10,50,1.5,"0.001",0.0168332269701492,1,"D","LRT","BW1",0.0036
"binary",10,50,1.5,"0.01",0.0109885333162633,1,"B","LRT","BW1",0.014
"binary",10,50,1.5,"0.01",0.0120921944128048,1,"D","LRT","BW1",0.007
"count",10,50,1.5,"0.01",0.0135503316180757,1,"B","LRT","BW1",0.011
"count",10,50,1.5,"0.01",0.0204434184020878,1,"D","LRT","BW1",0.0082
"binary",10,50,1.5,"0.05",0.0322321294565187,1,"B","LRT","BW1",0.03
"binary",10,50,1.5,"0.05",0.0341919579793778,1,"D","LRT","BW1",0.0288
"count",10,50,1.5,"0.05",0.026376084074767,1,"B","LRT","BW1",0.0308
"count",10,50,1.5,"0.05",0.030119707742815,1,"D","LRT","BW1",0.0302
"binary",10,50,1.5,"0.1",0.0628531272047849,1,"B","LRT","BW1",0.0346
"binary",10,50,1.5,"0.1",0.0624620620960744,1,"D","LRT","BW1",0.038
"count",10,50,1.5,"0.1",0.0403680467630873,1,"B","LRT","BW1",0.0412
"count",10,50,1.5,"0.1",0.0426625074350172,1,"D","LRT","BW1",0.0412
"binary",10,50,1.5,"0.2",0.12088459696206,1,"B","LRT","BW1",0.0354
"binary",10,50,1.5,"0.2",0.122702468313869,1,"D","LRT","BW1",0.0338
"count",10,50,1.5,"0.2",0.0749073547002784,1,"B","LRT","BW1",0.0342
"count",10,50,1.5,"0.2",0.0692119478522687,1,"D","LRT","BW1",0.0416
"binary",10,100,0,"0.001",0.00233155508980384,1,"B","LRT","BW1",0.007
"binary",10,100,0,"0.001",0.00254394185078269,1,"D","LRT","BW1",0.0048
"count",10,100,0,"0.001",0.00212304139710857,1,"B","LRT","BW1",0.0064
"count",10,100,0,"0.001",0.00218737767123781,1,"D","LRT","BW1",0.0034
"binary",10,100,0,"0.01",0.00693437186012852,1,"B","LRT","BW1",0.0112
"binary",10,100,0,"0.01",0.00711431155728522,1,"D","LRT","BW1",0.0108
"count",10,100,0,"0.01",0.00419991382721597,1,"B","LRT","BW1",0.0172
"count",10,100,0,"0.01",0.00389694871869419,1,"D","LRT","BW1",0.0094
"binary",10,100,0,"0.05",0.0308963332391612,1,"B","LRT","BW1",0.026
"binary",10,100,0,"0.05",0.0311349695011252,1,"D","LRT","BW1",0.0236
"count",10,100,0,"0.05",0.0155795330366775,1,"B","LRT","BW1",0.0244
"count",10,100,0,"0.05",0.0128185340391167,1,"D","LRT","BW1",0.021
"binary",10,100,0,"0.1",0.0619438846779286,1,"B","LRT","BW1",0.025
"binary",10,100,0,"0.1",0.0616564372078175,1,"D","LRT","BW1",0.0252
"count",10,100,0,"0.1",0.0308245926572142,1,"B","LRT","BW1",0.0212
"count",10,100,0,"0.1",0.0251695731456641,1,"D","LRT","BW1",0.0214
"binary",10,100,0,"0.2",0.121820984538001,1,"B","LRT","BW1",0.0248
"binary",10,100,0,"0.2",0.122564126748239,1,"D","LRT","BW1",0.025
"count",10,100,0,"0.2",0.0620941670622559,1,"B","LRT","BW1",0.022
"count",10,100,0,"0.2",0.04952870688156,1,"D","LRT","BW1",0.0248
"binary",10,100,0.75,"0.001",0.00259512540618092,1,"B","LRT","BW1",0.0066
"binary",10,100,0.75,"0.001",0.00292578998746266,1,"D","LRT","BW1",0.0026
"count",10,100,0.75,"0.001",0.00279934858288995,1,"B","LRT","BW1",0.0066
"count",10,100,0.75,"0.001",0.00356422216844901,1,"D","LRT","BW1",0.0036
"binary",10,100,0.75,"0.01",0.00706771799157086,1,"B","LRT","BW1",0.0198
"binary",10,100,0.75,"0.01",0.00753246689851776,1,"D","LRT","BW1",0.008
"count",10,100,0.75,"0.01",0.00487862033719871,1,"B","LRT","BW1",0.0176
"count",10,100,0.75,"0.01",0.00549162449125098,1,"D","LRT","BW1",0.0136
"binary",10,100,0.75,"0.05",0.0315330648415179,1,"B","LRT","BW1",0.0288
"binary",10,100,0.75,"0.05",0.0314411795839107,1,"D","LRT","BW1",0.028
"count",10,100,0.75,"0.05",0.0167614662141134,1,"B","LRT","BW1",0.0298
"count",10,100,0.75,"0.05",0.0138420308786452,1,"D","LRT","BW1",0.0278
"binary",10,100,0.75,"0.1",0.061173853571102,1,"B","LRT","BW1",0.0278
"binary",10,100,0.75,"0.1",0.0614602578227335,1,"D","LRT","BW1",0.0272
"count",10,100,0.75,"0.1",0.0326247087665097,1,"B","LRT","BW1",0.0316
"count",10,100,0.75,"0.1",0.0266256970415046,1,"D","LRT","BW1",0.0324
"binary",10,100,0.75,"0.2",0.121606885384861,1,"B","LRT","BW1",0.027
"binary",10,100,0.75,"0.2",0.124129025345582,1,"D","LRT","BW1",0.0276
"count",10,100,0.75,"0.2",0.0637126190077066,1,"B","LRT","BW1",0.0244
"count",10,100,0.75,"0.2",0.05264982680556,1,"D","LRT","BW1",0.0302
"binary",10,100,1.5,"0.001",0.00358128016710519,1,"B","LRT","BW1",0.0052
"binary",10,100,1.5,"0.001",0.00458551831150551,1,"D","LRT","BW1",0.004
"count",10,100,1.5,"0.001",0.00770656453441129,1,"B","LRT","BW1",0.0074
"count",10,100,1.5,"0.001",0.0122108155851257,1,"D","LRT","BW1",0.0046
"binary",10,100,1.5,"0.01",0.00816542803326101,1,"B","LRT","BW1",0.0208
"binary",10,100,1.5,"0.01",0.00891058041937723,1,"D","LRT","BW1",0.0124
"count",10,100,1.5,"0.01",0.00916021403874883,1,"B","LRT","BW1",0.02
"count",10,100,1.5,"0.01",0.0145083252749965,1,"D","LRT","BW1",0.0192
"binary",10,100,1.5,"0.05",0.0319343764931785,1,"B","LRT","BW1",0.0354
"binary",10,100,1.5,"0.05",0.0320120969829805,1,"D","LRT","BW1",0.0354
"count",10,100,1.5,"0.05",0.0223257299319671,1,"B","LRT","BW1",0.0396
"count",10,100,1.5,"0.05",0.0233974881416066,1,"D","LRT","BW1",0.043
"binary",10,100,1.5,"0.1",0.0603606557394306,1,"B","LRT","BW1",0.0416
"binary",10,100,1.5,"0.1",0.0621806666591178,1,"D","LRT","BW1",0.0388
"count",10,100,1.5,"0.1",0.0375981397328829,1,"B","LRT","BW1",0.0434
"count",10,100,1.5,"0.1",0.0365294023212697,1,"D","LRT","BW1",0.0488
"binary",10,100,1.5,"0.2",0.123151332064255,1,"B","LRT","BW1",0.0306
"binary",10,100,1.5,"0.2",0.123591487869784,1,"D","LRT","BW1",0.0364
"count",10,100,1.5,"0.2",0.0724461693283039,1,"B","LRT","BW1",0.0324
"count",10,100,1.5,"0.2",0.0646099575174462,1,"D","LRT","BW1",0.0418
"binary",20,50,0,"0.001",0.00297273317995276,1,"B","LRT","BW1",0.0246
"binary",20,50,0,"0.001",0.00320855378245645,1,"D","LRT","BW1",0.0272
"count",20,50,0,"0.001",0.0026382083629439,1,"B","LRT","BW1",0.0282
"count",20,50,0,"0.001",0.00305364304153023,1,"D","LRT","BW1",0.0314
"binary",20,50,0,"0.01",0.00705696889021031,1,"B","LRT","BW1",0.0356
"binary",20,50,0,"0.01",0.0074105931357321,1,"D","LRT","BW1",0.0376
"count",20,50,0,"0.01",0.00483539976294783,1,"B","LRT","BW1",0.0416
"count",20,50,0,"0.01",0.00448778536953718,1,"D","LRT","BW1",0.0438
"binary",20,50,0,"0.05",0.0313920785734977,1,"B","LRT","BW1",0.044
"binary",20,50,0,"0.05",0.0309669347731658,1,"D","LRT","BW1",0.0562
"count",20,50,0,"0.05",0.0156964616031448,1,"B","LRT","BW1",0.0496
"count",20,50,0,"0.05",0.0132661936811219,1,"D","LRT","BW1",0.0554
"binary",20,50,0,"0.1",0.0616840554451272,1,"B","LRT","BW1",0.0458
"binary",20,50,0,"0.1",0.0624729583838673,1,"D","LRT","BW1",0.0484
"count",20,50,0,"0.1",0.0316192240488489,1,"B","LRT","BW1",0.0468
"count",20,50,0,"0.1",0.0251018540604815,1,"D","LRT","BW1",0.0538
"binary",20,50,0,"0.2",0.123544309959441,1,"B","LRT","BW1",0.0462
"binary",20,50,0,"0.2",0.125196097868788,1,"D","LRT","BW1",0.0472
"count",20,50,0,"0.2",0.0637572865537701,1,"B","LRT","BW1",0.0484
"count",20,50,0,"0.2",0.0516844860554852,1,"D","LRT","BW1",0.0528
"binary",20,50,0.75,"0.001",0.00291040171178349,1,"B","LRT","BW1",0.0276
"binary",20,50,0.75,"0.001",0.00308222723113084,1,"D","LRT","BW1",0.0274
"count",20,50,0.75,"0.001",0.00319075913045441,1,"B","LRT","BW1",0.0294
